atom_id,atom_category,atom_type,primary_value,attributes_json,tags_json,source_dataset_id,source_row_id,source_line_no
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-004,value,risk_baseline,low,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-004"", ""risk_baseline"": ""low""}","[""kind:risk_baseline"", ""parent:PAT-004""]",output_patterns_gardenier_prompt_compiler_agent,PAT-004,5
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-004,value,output_type,routing_decision,"{""output_type"": ""routing_decision"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-004""}","[""kind:output_type"", ""parent:PAT-004""]",output_patterns_gardenier_prompt_compiler_agent,PAT-004,5
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-005,rule,output_pattern_profile,Validation Report,"{""_reconstructed_from_len"": 6, ""notes"": ""Text QA output (no execution claims)"", ""output_type"": ""validation_report"", ""pattern_id"": ""PAT-005"", ""pattern_name"": ""Validation Report"", ""raw_line"": ""PAT-005,validation_report,Validation Report,\""\""\""checks:\\n- rule_id: <id>\\n  ok: <true/false>\\n  detail: <short>\\nsummary: <1-2 lines>\""\""\"",Text QA output (no execution claims),medium"", ""risk_baseline"": ""medium"", ""skeleton"": ""checks:\\n- rule_id: <id>\\n  ok: <true/false>\\n  detail: <short>\\nsummary: <1-2 lines>""}","[""kind:output_pattern_profile"", ""output_type:validation_report"", ""pattern_id:PAT-005"", ""risk:medium""]",output_patterns_gardenier_prompt_compiler_agent,PAT-005,6
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-005,pattern,skeleton,checks:\n- rule_id: <id>\n  ok: <true/false>\n  detail: <short>\nsummary: <1-2 lines>,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-005"", ""skeleton"": ""checks:\\n- rule_id: <id>\\n  ok: <true/false>\\n  detail: <short>\\nsummary: <1-2 lines>""}","[""kind:skeleton"", ""parent:PAT-005""]",output_patterns_gardenier_prompt_compiler_agent,PAT-005,6
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-005,rule,notes,Text QA output (no execution claims),"{""notes"": ""Text QA output (no execution claims)"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-005""}","[""kind:notes"", ""parent:PAT-005""]",output_patterns_gardenier_prompt_compiler_agent,PAT-005,6
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-005,value,risk_baseline,medium,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-005"", ""risk_baseline"": ""medium""}","[""kind:risk_baseline"", ""parent:PAT-005""]",output_patterns_gardenier_prompt_compiler_agent,PAT-005,6
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-005,value,output_type,validation_report,"{""output_type"": ""validation_report"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-005""}","[""kind:output_type"", ""parent:PAT-005""]",output_patterns_gardenier_prompt_compiler_agent,PAT-005,6
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-006,rule,output_pattern_profile,Schema Lint,"{""_reconstructed_from_len"": 6, ""notes"": ""Prevents heading drift"", ""output_type"": ""schema_lint"", ""pattern_id"": ""PAT-006"", ""pattern_name"": ""Schema Lint"", ""raw_line"": ""PAT-006,schema_lint,Schema Lint,\""\""\""headings_ok: <true/false>\\nmissing_headings: <list>\\nextra_headings: <list>\""\""\"",Prevents heading drift,medium"", ""risk_baseline"": ""medium"", ""skeleton"": ""headings_ok: <true/false>\\nmissing_headings: <list>\\nextra_headings: <list>""}","[""kind:output_pattern_profile"", ""output_type:schema_lint"", ""pattern_id:PAT-006"", ""risk:medium""]",output_patterns_gardenier_prompt_compiler_agent,PAT-006,7
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-006,pattern,skeleton,headings_ok: <true/false>\nmissing_headings: <list>\nextra_headings: <list>,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-006"", ""skeleton"": ""headings_ok: <true/false>\\nmissing_headings: <list>\\nextra_headings: <list>""}","[""kind:skeleton"", ""parent:PAT-006""]",output_patterns_gardenier_prompt_compiler_agent,PAT-006,7
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-006,rule,notes,Prevents heading drift,"{""notes"": ""Prevents heading drift"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-006""}","[""kind:notes"", ""parent:PAT-006""]",output_patterns_gardenier_prompt_compiler_agent,PAT-006,7
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-006,value,risk_baseline,medium,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-006"", ""risk_baseline"": ""medium""}","[""kind:risk_baseline"", ""parent:PAT-006""]",output_patterns_gardenier_prompt_compiler_agent,PAT-006,7
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-006,value,output_type,schema_lint,"{""output_type"": ""schema_lint"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-006""}","[""kind:output_type"", ""parent:PAT-006""]",output_patterns_gardenier_prompt_compiler_agent,PAT-006,7
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-007,rule,output_pattern_profile,Assumption Plan,"{""_reconstructed_from_len"": 6, ""notes"": ""Drive missing-input handling"", ""output_type"": ""assumption_plan"", ""pattern_id"": ""PAT-007"", ""pattern_name"": ""Assumption Plan"", ""raw_line"": ""PAT-007,assumption_plan,Assumption Plan,\""\""\""missing_inputs:\\n- type: <type>\\n  action: <ask/default>\\n  default: <value>\\nnotes: <short>\""\""\"",Drive missing-input handling,low"", ""risk_baseline"": ""low"", ""skeleton"": ""missing_inputs:\\n- type: <type>\\n  action: <ask/default>\\n  default: <value>\\nnotes: <short>""}","[""kind:output_pattern_profile"", ""output_type:assumption_plan"", ""pattern_id:PAT-007"", ""risk:low""]",output_patterns_gardenier_prompt_compiler_agent,PAT-007,8
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-007,pattern,skeleton,missing_inputs:\n- type: <type>\n  action: <ask/default>\n  default: <value>\nnotes: <short>,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-007"", ""skeleton"": ""missing_inputs:\\n- type: <type>\\n  action: <ask/default>\\n  default: <value>\\nnotes: <short>""}","[""kind:skeleton"", ""parent:PAT-007""]",output_patterns_gardenier_prompt_compiler_agent,PAT-007,8
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-007,rule,notes,Drive missing-input handling,"{""notes"": ""Drive missing-input handling"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-007""}","[""kind:notes"", ""parent:PAT-007""]",output_patterns_gardenier_prompt_compiler_agent,PAT-007,8
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-007,value,risk_baseline,low,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-007"", ""risk_baseline"": ""low""}","[""kind:risk_baseline"", ""parent:PAT-007""]",output_patterns_gardenier_prompt_compiler_agent,PAT-007,8
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-007,value,output_type,assumption_plan,"{""output_type"": ""assumption_plan"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-007""}","[""kind:output_type"", ""parent:PAT-007""]",output_patterns_gardenier_prompt_compiler_agent,PAT-007,8
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-008,rule,output_pattern_profile,Change Log,"{""_reconstructed_from_len"": 6, ""notes"": ""Diff summary between SPO versions"", ""output_type"": ""change_log"", ""pattern_id"": ""PAT-008"", ""pattern_name"": ""Change Log"", ""raw_line"": ""PAT-008,change_log,Change Log,\""\""\""changes:\\n- section: <heading>\\n  before: <short>\\n  after: <short>\""\""\"",Diff summary between SPO versions,low"", ""risk_baseline"": ""low"", ""skeleton"": ""changes:\\n- section: <heading>\\n  before: <short>\\n  after: <short>""}","[""kind:output_pattern_profile"", ""output_type:change_log"", ""pattern_id:PAT-008"", ""risk:low""]",output_patterns_gardenier_prompt_compiler_agent,PAT-008,9
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-008,pattern,skeleton,changes:\n- section: <heading>\n  before: <short>\n  after: <short>,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-008"", ""skeleton"": ""changes:\\n- section: <heading>\\n  before: <short>\\n  after: <short>""}","[""kind:skeleton"", ""parent:PAT-008""]",output_patterns_gardenier_prompt_compiler_agent,PAT-008,9
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-008,rule,notes,Diff summary between SPO versions,"{""notes"": ""Diff summary between SPO versions"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-008""}","[""kind:notes"", ""parent:PAT-008""]",output_patterns_gardenier_prompt_compiler_agent,PAT-008,9
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-008,value,risk_baseline,low,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-008"", ""risk_baseline"": ""low""}","[""kind:risk_baseline"", ""parent:PAT-008""]",output_patterns_gardenier_prompt_compiler_agent,PAT-008,9
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-008,value,output_type,change_log,"{""output_type"": ""change_log"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-008""}","[""kind:output_type"", ""parent:PAT-008""]",output_patterns_gardenier_prompt_compiler_agent,PAT-008,9
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-009,rule,output_pattern_profile,Strict SPO Markdown,"{""_reconstructed_from_len"": 6, ""notes"": ""Adds explicit questions block (optional)"", ""output_type"": ""SPO_strict"", ""pattern_id"": ""PAT-009"", ""pattern_name"": ""Strict SPO Markdown"", ""raw_line"": ""PAT-009,SPO_strict,Strict SPO Markdown,\""\""\""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics\\n\\n## Open Questions\\n- \""\""\"",Adds explicit questions block (optional),medium"", ""risk_baseline"": ""medium"", ""skeleton"": ""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics\\n\\n## Open Questions\\n-""}","[""kind:output_pattern_profile"", ""output_type:SPO_strict"", ""pattern_id:PAT-009"", ""risk:medium""]",output_patterns_gardenier_prompt_compiler_agent,PAT-009,10
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-009,pattern,skeleton,# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics\n\n## Open Questions\n-,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-009"", ""skeleton"": ""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics\\n\\n## Open Questions\\n-""}","[""kind:skeleton"", ""parent:PAT-009""]",output_patterns_gardenier_prompt_compiler_agent,PAT-009,10
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-009,rule,notes,Adds explicit questions block (optional),"{""notes"": ""Adds explicit questions block (optional)"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-009""}","[""kind:notes"", ""parent:PAT-009""]",output_patterns_gardenier_prompt_compiler_agent,PAT-009,10
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-009,value,risk_baseline,medium,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-009"", ""risk_baseline"": ""medium""}","[""kind:risk_baseline"", ""parent:PAT-009""]",output_patterns_gardenier_prompt_compiler_agent,PAT-009,10
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-009,value,output_type,SPO_strict,"{""output_type"": ""SPO_strict"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-009""}","[""kind:output_type"", ""parent:PAT-009""]",output_patterns_gardenier_prompt_compiler_agent,PAT-009,10
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-010,rule,output_pattern_profile,Tone Adjustment Output,"{""_reconstructed_from_len"": 6, ""notes"": ""Tracks tone edits only"", ""output_type"": ""tone_adjustment"", ""pattern_id"": ""PAT-010"", ""pattern_name"": ""Tone Adjustment Output"", ""raw_line"": ""PAT-010,tone_adjustment,Tone Adjustment Output,\""\""\""tone_id: <id>\\nchanges:\\n- <bullet>\\nrewritten_sections:\\n- Tone Policy\""\""\"",Tracks tone edits only,low"", ""risk_baseline"": ""low"", ""skeleton"": ""tone_id: <id>\\nchanges:\\n- <bullet>\\nrewritten_sections:\\n- Tone Policy""}","[""kind:output_pattern_profile"", ""output_type:tone_adjustment"", ""pattern_id:PAT-010"", ""risk:low""]",output_patterns_gardenier_prompt_compiler_agent,PAT-010,11
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-010,pattern,skeleton,tone_id: <id>\nchanges:\n- <bullet>\nrewritten_sections:\n- Tone Policy,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-010"", ""skeleton"": ""tone_id: <id>\\nchanges:\\n- <bullet>\\nrewritten_sections:\\n- Tone Policy""}","[""kind:skeleton"", ""parent:PAT-010""]",output_patterns_gardenier_prompt_compiler_agent,PAT-010,11
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-010,rule,notes,Tracks tone edits only,"{""notes"": ""Tracks tone edits only"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-010""}","[""kind:notes"", ""parent:PAT-010""]",output_patterns_gardenier_prompt_compiler_agent,PAT-010,11
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-010,value,risk_baseline,low,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-010"", ""risk_baseline"": ""low""}","[""kind:risk_baseline"", ""parent:PAT-010""]",output_patterns_gardenier_prompt_compiler_agent,PAT-010,11
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-010,value,output_type,tone_adjustment,"{""output_type"": ""tone_adjustment"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-010""}","[""kind:output_type"", ""parent:PAT-010""]",output_patterns_gardenier_prompt_compiler_agent,PAT-010,11
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-011,rule,output_pattern_profile,Canonical Row Doc,"{""_reconstructed_from_len"": 7, ""notes"": ""For embedding/upsert canonicalization; one row -> one doc"", ""output_type"": ""canonical_row_doc"", ""pattern_id"": ""PAT-011"", ""pattern_name"": ""Canonical Row Doc"", ""raw_line"": ""PAT-011,canonical_row_doc,Canonical Row Doc,\""\""\""[ROW]\\ndataset=<dataset_name>\\nprimary_id=<row_primary_key>\\ndomain_type=<optional>\\ntitle=<optional short name>\\nfields=<key=value pairs\"",\""concise>\\ndescription=<human-readable summary>\""\""\"",For embedding/upsert canonicalization; one row -> one doc,low"", ""risk_baseline"": ""low"", ""skeleton"": ""\""[ROW]\\ndataset=<dataset_name>\\nprimary_id=<row_primary_key>\\ndomain_type=<optional>\\ntitle=<optional short name>\\nfields=<key=value pairs,concise>\\ndescription=<human-readable summary>\""""}","[""kind:output_pattern_profile"", ""output_type:canonical_row_doc"", ""pattern_id:PAT-011"", ""risk:low""]",output_patterns_gardenier_prompt_compiler_agent,PAT-011,12
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-011,pattern,skeleton,"""[ROW]\ndataset=<dataset_name>\nprimary_id=<row_primary_key>\ndomain_type=<optional>\ntitle=<optional short name>\nfields=<key=value pairs,concise>\ndescription=<human-readable summary>""","{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-011"", ""skeleton"": ""\""[ROW]\\ndataset=<dataset_name>\\nprimary_id=<row_primary_key>\\ndomain_type=<optional>\\ntitle=<optional short name>\\nfields=<key=value pairs,concise>\\ndescription=<human-readable summary>\""""}","[""kind:skeleton"", ""parent:PAT-011""]",output_patterns_gardenier_prompt_compiler_agent,PAT-011,12
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-011,rule,notes,For embedding/upsert canonicalization; one row -> one doc,"{""notes"": ""For embedding/upsert canonicalization; one row -> one doc"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-011""}","[""kind:notes"", ""parent:PAT-011""]",output_patterns_gardenier_prompt_compiler_agent,PAT-011,12
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-011,value,risk_baseline,low,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-011"", ""risk_baseline"": ""low""}","[""kind:risk_baseline"", ""parent:PAT-011""]",output_patterns_gardenier_prompt_compiler_agent,PAT-011,12
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-011,value,output_type,canonical_row_doc,"{""output_type"": ""canonical_row_doc"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-011""}","[""kind:output_type"", ""parent:PAT-011""]",output_patterns_gardenier_prompt_compiler_agent,PAT-011,12
