edge_id,src_atom_id,dst_atom_id,relation_type,rule_id,confidence,evidence_json,notes
EDGE:V1:000014,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_BUG_TRIAGE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:engineering,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""engineering"", ""template_id"": ""TPL_BUG_TRIAGE_V1""}",
EDGE:V1:000015,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_SECURITY_REVIEW_V1,ATOM:domain_policy_prompt_compiler:PROFILE:engineering,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""engineering"", ""template_id"": ""TPL_SECURITY_REVIEW_V1""}",
EDGE:V1:000016,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_SYSTEM_DESIGN_V1,ATOM:domain_policy_prompt_compiler:PROFILE:engineering,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""engineering"", ""template_id"": ""TPL_SYSTEM_DESIGN_V1""}",
EDGE:V1:000017,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_CONTENT_BRIEF_V1,ATOM:domain_policy_prompt_compiler:PROFILE:creative,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""creative"", ""template_id"": ""TPL_CONTENT_BRIEF_V1""}",
EDGE:V1:000018,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_BRAND_VOICE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:creative,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""creative"", ""template_id"": ""TPL_BRAND_VOICE_V1""}",
EDGE:V1:000019,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_VISUAL_ID_V1,ATOM:domain_policy_prompt_compiler:PROFILE:creative,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""creative"", ""template_id"": ""TPL_VISUAL_ID_V1""}",
EDGE:V1:000020,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_STORYBOARD_V1,ATOM:domain_policy_prompt_compiler:PROFILE:creative,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""creative"", ""template_id"": ""TPL_STORYBOARD_V1""}",
EDGE:V1:000021,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_NAMING_V1,ATOM:domain_policy_prompt_compiler:PROFILE:creative,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""creative"", ""template_id"": ""TPL_NAMING_V1""}",
EDGE:V1:000022,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_USER_PERSONA_V1,ATOM:domain_policy_prompt_compiler:PROFILE:persona,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""persona"", ""template_id"": ""TPL_USER_PERSONA_V1""}",
EDGE:V1:000023,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_AGENT_PERSONA_V1,ATOM:domain_policy_prompt_compiler:PROFILE:persona,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""persona"", ""template_id"": ""TPL_AGENT_PERSONA_V1""}",
EDGE:V1:000024,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_ROLE_BOUNDARY_V1,ATOM:domain_policy_prompt_compiler:PROFILE:persona,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""persona"", ""template_id"": ""TPL_ROLE_BOUNDARY_V1""}",
EDGE:V1:000025,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_CONVERSATION_STYLE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:persona,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""persona"", ""template_id"": ""TPL_CONVERSATION_STYLE_V1""}",
EDGE:V1:000026,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_RISK_MATRIX_V1,ATOM:domain_policy_prompt_compiler:PROFILE:decision_analysis,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""decision_analysis"", ""template_id"": ""TPL_RISK_MATRIX_V1""}",
EDGE:V1:000027,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_COST_BENEFIT_V1,ATOM:domain_policy_prompt_compiler:PROFILE:decision_analysis,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""decision_analysis"", ""template_id"": ""TPL_COST_BENEFIT_V1""}",
EDGE:V1:000028,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_PRIORITY_STACK_V1,ATOM:domain_policy_prompt_compiler:PROFILE:decision_analysis,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""decision_analysis"", ""template_id"": ""TPL_PRIORITY_STACK_V1""}",
EDGE:V1:000029,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_SCENARIO_ANALYSIS_V1,ATOM:domain_policy_prompt_compiler:PROFILE:decision_analysis,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""decision_analysis"", ""template_id"": ""TPL_SCENARIO_ANALYSIS_V1""}",
EDGE:V1:000030,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_INCIDENT_RESPONSE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:customer_support,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""customer_support"", ""template_id"": ""TPL_INCIDENT_RESPONSE_V1""}",
EDGE:V1:000031,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_REFUND_COMMS_V1,ATOM:domain_policy_prompt_compiler:PROFILE:customer_support,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""customer_support"", ""template_id"": ""TPL_REFUND_COMMS_V1""}",
EDGE:V1:000032,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_ESCALATION_V1,ATOM:domain_policy_prompt_compiler:PROFILE:customer_support,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""customer_support"", ""template_id"": ""TPL_ESCALATION_V1""}",
EDGE:V1:000033,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_TECH_RESEARCH_V1,ATOM:domain_policy_prompt_compiler:PROFILE:research_summary,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""research_summary"", ""template_id"": ""TPL_TECH_RESEARCH_V1""}",
EDGE:V1:000034,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_LIT_REVIEW_V1,ATOM:domain_policy_prompt_compiler:PROFILE:research_summary,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""research_summary"", ""template_id"": ""TPL_LIT_REVIEW_V1""}",
EDGE:V1:000035,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_ETL_PIPELINE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_ops,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_ops"", ""template_id"": ""TPL_ETL_PIPELINE_V1""}",
EDGE:V1:000036,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATA_VALIDATION_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_ops,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_ops"", ""template_id"": ""TPL_DATA_VALIDATION_V1""}",
EDGE:V1:000037,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_SCHEMA_MIGRATION_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_ops,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_ops"", ""template_id"": ""TPL_SCHEMA_MIGRATION_V1""}",
EDGE:V1:000038,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_PRESS_RELEASE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:marketing_copy,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""marketing_copy"", ""template_id"": ""TPL_PRESS_RELEASE_V1""}",
EDGE:V1:000039,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_EMAIL_CAMPAIGN_V1,ATOM:domain_policy_prompt_compiler:PROFILE:marketing_copy,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""marketing_copy"", ""template_id"": ""TPL_EMAIL_CAMPAIGN_V1""}",
EDGE:V1:000040,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_SOCIAL_COPY_V1,ATOM:domain_policy_prompt_compiler:PROFILE:marketing_copy,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""marketing_copy"", ""template_id"": ""TPL_SOCIAL_COPY_V1""}",
EDGE:V1:000041,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_POLICY_DRAFT_V1,ATOM:domain_policy_prompt_compiler:PROFILE:legal_comms,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""legal_comms"", ""template_id"": ""TPL_POLICY_DRAFT_V1""}",
EDGE:V1:000042,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_TOS_SUMMARY_V1,ATOM:domain_policy_prompt_compiler:PROFILE:legal_comms,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""legal_comms"", ""template_id"": ""TPL_TOS_SUMMARY_V1""}",
EDGE:V1:000043,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_COMPLIANCE_NOTICE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:legal_comms,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""legal_comms"", ""template_id"": ""TPL_COMPLIANCE_NOTICE_V1""}",
EDGE:V1:000044,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATASET_CARD_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_governance,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_governance"", ""template_id"": ""TPL_DATASET_CARD_V1""}",
EDGE:V1:000045,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATA_LICENSE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_governance,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_governance"", ""template_id"": ""TPL_DATA_LICENSE_V1""}",
EDGE:V1:000046,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATA_LINEAGE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_governance,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_governance"", ""template_id"": ""TPL_DATA_LINEAGE_V1""}",
EDGE:V1:000047,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATA_RETENTION_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_governance,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_governance"", ""template_id"": ""TPL_DATA_RETENTION_V1""}",
EDGE:V1:000048,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATA_ACCESS_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_governance,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_governance"", ""template_id"": ""TPL_DATA_ACCESS_V1""}",
EDGE:V1:000049,ATOM:domain_policy_prompt_compiler:PROFILE:project_spec,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_PROJECT_SPEC_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_PROJECT_SPEC_V1"", ""domain_type"": ""project_spec""}",
EDGE:V1:000050,ATOM:domain_policy_prompt_compiler:PROFILE:engineering,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_ENGINEERING_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_ENGINEERING_V1"", ""domain_type"": ""engineering""}",
EDGE:V1:000051,ATOM:domain_policy_prompt_compiler:PROFILE:creative,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_CREATIVE_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_CREATIVE_V1"", ""domain_type"": ""creative""}",
EDGE:V1:000052,ATOM:domain_policy_prompt_compiler:PROFILE:persona,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_PERSONA_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_PERSONA_V1"", ""domain_type"": ""persona""}",
EDGE:V1:000053,ATOM:domain_policy_prompt_compiler:PROFILE:decision_analysis,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DECISION_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_DECISION_V1"", ""domain_type"": ""decision_analysis""}",
EDGE:V1:000054,ATOM:domain_policy_prompt_compiler:PROFILE:customer_support,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_SUPPORT_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_SUPPORT_V1"", ""domain_type"": ""customer_support""}",
EDGE:V1:000055,ATOM:domain_policy_prompt_compiler:PROFILE:research_summary,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_RESEARCH_SUMMARY_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_RESEARCH_SUMMARY_V1"", ""domain_type"": ""research_summary""}",
EDGE:V1:000056,ATOM:domain_policy_prompt_compiler:PROFILE:data_ops,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATA_OPS_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_DATA_OPS_V1"", ""domain_type"": ""data_ops""}",
EDGE:V1:000057,ATOM:domain_policy_prompt_compiler:PROFILE:marketing_copy,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_MARKETING_COPY_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_MARKETING_COPY_V1"", ""domain_type"": ""marketing_copy""}",
EDGE:V1:000058,ATOM:domain_policy_prompt_compiler:PROFILE:legal_comms,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_LEGAL_COMMS_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_LEGAL_COMMS_V1"", ""domain_type"": ""legal_comms""}",
EDGE:V1:000059,ATOM:domain_policy_prompt_compiler:PROFILE:incident_response,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_INCIDENT_RESPONSE_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_INCIDENT_RESPONSE_V1"", ""domain_type"": ""incident_response""}",
EDGE:V1:000060,ATOM:domain_policy_prompt_compiler:PROFILE:release_notes,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_RELEASE_NOTES_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_RELEASE_NOTES_V1"", ""domain_type"": ""release_notes""}",
EDGE:V1:000061,ATOM:domain_policy_prompt_compiler:PROFILE:security_review,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_SECURITY_REVIEW_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_SECURITY_REVIEW_V1"", ""domain_type"": ""security_review""}",
EDGE:V1:000062,ATOM:domain_policy_prompt_compiler:PROFILE:dataset_card,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATASET_CARD_V1,selects_default_template,R2_DOMAIN_DEFAULT_TEMPLATE_ID,0.99,"{""default_template_id"": ""TPL_DATASET_CARD_V1"", ""domain_type"": ""dataset_card""}",
EDGE:V1:000063,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-001,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-001,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-001""}",
EDGE:V1:000064,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-002,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-002,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-002""}",
EDGE:V1:000065,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-003,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-003,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-003""}",
EDGE:V1:000066,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-004,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-004,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-004""}",
EDGE:V1:000067,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-005,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-005,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-005""}",
EDGE:V1:000068,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-006,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-006,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-006""}",
EDGE:V1:000069,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-007,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-007,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-007""}",
EDGE:V1:000070,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-008,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-008,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-008""}",
EDGE:V1:000071,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-009,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-009,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-009""}",
EDGE:V1:000072,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-010,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-010,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-010""}",
EDGE:V1:000073,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-011,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-011,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-011""}",
EDGE:V1:000074,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-012,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-012,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-012""}",
EDGE:V1:000075,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-013,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-013,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-013""}",
EDGE:V1:000076,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-014,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-014,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-014""}",
EDGE:V1:000077,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-015,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-015,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-015""}",
EDGE:V1:000078,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-016,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-016,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-016""}",
EDGE:V1:000079,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-017,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-017,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-017""}",
EDGE:V1:000080,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-018,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-018,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-018""}",
EDGE:V1:000081,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-019,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-019,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-019""}",
EDGE:V1:000082,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-020,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-020,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-020""}",
EDGE:V1:000083,ATOM:validation_rules_prompt_compiler_gardenier:PROFILE:TP-021,ATOM:tone_policy_prompt_compiler_gardenier:PROFILE:TP-021,equivalent_tone,R3_TONE_ID_EQUIVALENCE,0.99,"{""tone_id"": ""TP-021""}",
