template_id,domain_type,template_name,required_sections,directives,constraints,output_format,tone_policy,risk_baseline
TPL_ONBOARDING_GUIDE_V1,product_ops,Onboarding Guide Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define first-run steps + success criteria,No hidden prerequisites,Markdown step-by-step,Welcoming and clear,low
TPL_USER_JOURNEY_V1,product_ops,User Journey Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Map stages + touchpoints,No fictional data,Markdown flow,Analytical and empathetic,low
TPL_FEATURE_SPEC_V1,product_ops,Feature Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define scope + acceptance criteria,No scope creep,Markdown spec,Clear and pragmatic,medium
TPL_RELEASE_NOTES_V1,product_ops,Release Notes Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Summarize changes + impacts,No marketing fluff,Markdown changelog,Neutral and factual,low
TPL_DEPRECATION_NOTICE_V1,product_ops,Deprecation Notice Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Explain timeline + alternatives,No abrupt cutoffs,Markdown notice,Respectful and clear,medium
TPL_AI_AGENT_BRIEF_V1,agent_design,AI Agent Brief v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define agent role + tools + limits,No autonomous authority claims,Markdown brief,Controlled and technical,medium
TPL_AGENT_EVAL_V1,agent_design,Agent Evaluation Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define metrics + test cases,No unverifiable scores,Markdown tables,Analytical and strict,medium
TPL_AGENT_FAILURE_MODES_V1,agent_design,Agent Failure Modes Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Enumerate risks + mitigations,No panic framing,Markdown risk list,Calm and precise,high
TPL_AGENT_HANDOFF_V1,agent_design,Agent Handoff Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define human-in-the-loop points,No full automation claims,Markdown flow,Responsible and cautious,high
TPL_AGENT_TOOLING_V1,agent_design,Agent Tooling Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Specify tools + permissions,No undeclared tool use,Markdown matrix,Exact and controlled,medium
TPL_DATASET_CARD_V1,data_governance,Dataset Card Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Describe source + limits + risks,No misleading claims,Markdown card,Transparent and neutral,medium
TPL_DATA_LICENSE_V1,data_governance,Data License Summary Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Summarize license terms,Not legal advice,Markdown bullets,Formal and clear,high
TPL_DATA_LINEAGE_V1,data_governance,Data Lineage Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Track origin + transformations,No gaps,Markdown diagram,Methodical and exact,medium
TPL_DATA_RETENTION_V1,data_governance,Data Retention Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define retention + deletion rules,No ambiguity,Markdown policy,Strict and compliant,high
TPL_DATA_ACCESS_V1,data_governance,Data Access Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define roles + permissions,No implicit access,Markdown table,Formal and controlled,high
TPL_PRIVACY_NOTICE_V1,compliance_policy,Privacy Notice Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Explain data usage plainly,No dark patterns,Markdown notice,Transparent and calm,high
TPL_GDPR_SUMMARY_V1,compliance_policy,GDPR Summary Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Summarize rights + duties,Not legal advice,Markdown bullets,Formal and neutral,high
TPL_RISK_ASSESSMENT_V1,compliance_policy,Risk Assessment Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Assess impact + mitigation,No false certainty,Markdown table,Serious and analytical,high
TPL_AUDIT_PREP_V1,compliance_policy,Audit Prep Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Prepare evidence + checklist,No retroactive claims,Markdown checklist,Professional and exact,high
TPL_INCIDENT_LOG_V1,compliance_policy,Incident Log Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Log facts + timeline,No speculation,Markdown log,Neutral and factual,high
TPL_COMMUNITY_GUIDELINES_V1,community_ops,Community Guidelines Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define acceptable behavior,No moralizing,Markdown rules,Firm but respectful,medium
TPL_MODERATION_FLOW_V1,community_ops,Moderation Flow Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define report + action flow,No bias assumptions,Markdown flowchart,Calm and procedural,medium
TPL_FEEDBACK_INTAKE_V1,community_ops,Feedback Intake Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Collect + categorize feedback,No dismissive language,Markdown form,Open and constructive,low
TPL_TRUST_SAFETY_V1,community_ops,Trust & Safety Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define safety principles,No enforcement theatrics,Markdown principles,Serious and balanced,high
TPL_ESCALATION_MATRIX_V1,community_ops,Escalation Matrix Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Map severity to actions,No arbitrary decisions,Markdown matrix,Objective and firm,high
TPL_KPI_DEFINITION_V1,analytics,KPI Definition Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define metrics + formulas,No vanity metrics,Markdown table,Analytical and exact,medium
TPL_DASHBOARD_SPEC_V1,analytics,Dashboard Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define charts + filters,No misleading visuals,Markdown layout,Clear and data-driven,medium
TPL_EXPERIMENT_PLAN_V1,analytics,Experiment Plan Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define hypothesis + metrics,No p-hacking,Markdown plan,Scientific and neutral,medium
TPL_ANALYSIS_REPORT_V1,analytics,Analysis Report Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Summarize findings + limits,No overclaiming,Markdown report,Objective and precise,medium
TPL_DATA_INSIGHTS_V1,analytics,Data Insights Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Extract actionable insights,No speculation,Markdown bullets,Clear and pragmatic,medium
TPL_INTERNAL_MEMO_V1,internal_comms,Internal Memo Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Communicate decisions internally,No vague directives,Markdown memo,Direct and professional,low
TPL_EXEC_SUMMARY_V1,internal_comms,Executive Summary Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Condense key points,No loss of nuance,Markdown summary,Concise and authoritative,low
TPL_DECISION_RECORD_V1,internal_comms,Decision Record Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Log decision + rationale,No hindsight edits,Markdown log,Neutral and factual,medium
TPL_RETRO_V1,internal_comms,Retrospective Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Reflect on wins + issues,No blame culture,Markdown retro,Constructive and honest,low
TPL_ACTION_PLAN_V1,internal_comms,Action Plan Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define tasks + owners,No unclear ownership,Markdown checklist,Practical and firm,medium
