policy_id,domain_type,missing_input_type,default_action,default_value,notes
AP_DATA_DOMAIN_DEFAULT,ALL,domain_type,minimal_safe_default,"""ALL""","""If absent",treat as ALL. tags:data,"domain"""
AP_TEXT_ATOMICITY,ALL,atomicity,minimal_safe_default,"""One idea per row""","""Split bundles into atomic rows. tags:data","atomic"""
AP_TEXT_LENGTH_CAP,ALL,field_length,minimal_safe_default,"""Keep fields under 240 chars""","""Prevent embedding bloat. tags:data","length"""
AP_BAN_TOOL_CLAIMS,ALL,tool_claims,minimal_safe_default,"""Ban 'executed/browsed/ran tools' phrasing""","""Avoid false tool claims. tags:safety","style"""
AP_BAN_LORE_WORDS,ALL,banlist,minimal_safe_default,"""Avoid lore/filler words that reduce precision""","""Keep language literal. tags:quality","style"""
AP_CONSISTENT_TENSE,ALL,style_tense,minimal_safe_default,"""Imperative present tense""","""Write as directives. tags:quality","style"""
AP_NUMERIC_UNITS,ALL,units,ask,,"""Ask units for any numeric targets. tags:quality","units"""
AP_DATE_FORMAT,ALL,date_format,minimal_safe_default,"""YYYY-MM-DD""","""Use ISO date format. tags:quality","dates"""
AP_TIME_FORMAT,ALL,time_format,minimal_safe_default,"""24h HH:MM""","""Avoid AM/PM ambiguity. tags:quality","time"""
AP_LOCALE_ASSUMPTION,ALL,locale,minimal_safe_default,"""en-US for formatting examples""","""Use locale-neutral examples unless specified. tags:quality","locale"""
AP_OUTPUT_TESTS,engineering,tests_present,ask,,"""Ask if tests exist; if not",propose minimal tests. tags:eng,"tests"""
AP_OUTPUT_DIFF,engineering,diff_preference,minimal_safe_default,"""Prefer patch-style diffs when possible""","""Actionable changes > prose. tags:eng","diff"""
AP_ERROR_PRIORITY,engineering,error_priority,minimal_safe_default,"""Correctness > security > performance > style""","""Default priority order. tags:eng","triage"""
AP_DEP_GRAPH,engineering,dependency_graph,minimal_safe_default,"""Assume unknown dependencies; warn on shared surfaces""","""Call out integration risk. tags:eng","deps"""
AP_API_COMPAT,engineering,api_compatibility,minimal_safe_default,"""Preserve public API by default""","""Breaking changes must be labeled. tags:eng","compat"""
AP_LOG_SCRUB,engineering,secret_scrub,minimal_safe_default,"""Redact secrets in logs/snippets""","""Never echo tokens/keys. tags:eng","security"""
AP_RAG_GROUNDING,rag,grounding_sources,ask,,"""Ask allowed grounding sources (docs/DB/web). tags:rag","sources"""
AP_RAG_CHUNKING,rag,chunking_strategy,minimal_safe_default,"""512-1024 tokens with overlap""","""Default chunking heuristic. tags:rag","chunking"""
AP_RAG_METADATA,rag,metadata_fields,minimal_safe_default,"""dataset_name",primary_id,domain_type,"version""","""Minimum retrieval metadata. tags:rag","metadata"""
AP_RAG_CITATION_STYLE,rag,citation_style,minimal_safe_default,"""Inline short source IDs""","""Consistent citation tokens. tags:rag","citations"""
AP_RAG_FRESHNESS,rag,freshness_policy,minimal_safe_default,"""Prefer latest version unless pinned""","""Resolve version conflicts safely. tags:rag","freshness"""
AP_EVAL_BASELINE,evaluation,baseline,ask,,"""Ask baseline metrics/samples before improvement claims. tags:eval","baseline"""
AP_EVAL_SET_SIZE,evaluation,eval_set,minimal_safe_default,"""20-50 diverse cases""","""Default eval size for quick iteration. tags:eval","set"""
AP_EVAL_SCORING,evaluation,scoring_method,minimal_safe_default,"""Pass/fail + notes + criteria""","""Avoid purely subjective scoring. tags:eval","scoring"""
AP_EVAL_REGRESSION,evaluation,regression_policy,minimal_safe_default,"""Block changes that regress success rate""","""No regressions by default. tags:eval","regression"""
AP_AGENT_TOOLS_DECL,agent_ops,tool_access,required,,"""Tool access must be declared; otherwise assume none. tags:agent","tools"""
AP_AGENT_MEMORY_DECL,agent_ops,memory_access,minimal_safe_default,"""Off by default""","""Memory requires explicit consent/spec. tags:agent","memory"""
AP_AGENT_PERSONALITY_LOCK,agent_ops,persona_drift,minimal_safe_default,"""Keep personality fingerprint stable""","""If changed",bump persona_version. tags:agent,"persona"""
AP_AGENT_GUARDRAILS_FIRST,agent_ops,guardrails,minimal_safe_default,"""Guardrails override creativity""","""Safety/policy > style. tags:agent","guardrails"""
AP_DOCS_MINIMUM,ALL,documentation,minimal_safe_default,"""Include README + changelog notes""","""Minimum ship-ready docs. tags:release","docs"""
AP_RELEASE_NOTES,ALL,release_notes,minimal_safe_default,"""Summarize changes in 5 bullets""","""Keep releases scannable. tags:release","notes"""
AP_BACKWARD_COMPAT_DATA,ALL,data_compatibility,minimal_safe_default,"""Do not rename primary_ids""","""If unavoidable",provide mapping table. tags:data,"compat"""
AP_KNOWLEDGE_MAP_LINKS,ALL,knowledge_map,minimal_safe_default,"""Add semantic edges for new rows when applicable""","""Improve retrieval/navigation. tags:kg","edges"""
AP_CANONICAL_RECORD_FORMAT,ALL,canonical_record,minimal_safe_default,"""Use [ROW] canonical text doc template for embedding""","""Standardize embed docs. tags:rag","canonical"""
