tone_id,domain_type,tone_name,voice_keywords,do_list,dont_list,formatting,verbosity,certainty_calibration,risk_baseline
TP-001,ALL,Clear Practical,"""clear",practical,"direct""","""use short sentences; give next actions; define terms once""","""no fluff; no overpromising; no vague praise""","""headings + bullets; 1 blank line between sections""",medium,"""state assumptions; flag unknowns""",low
TP-002,engineering,Precise Cautious,"""precise",skeptical,"reproducible""","""ask for minimal repro; reference logs/errors; propose stepwise tests""","""no invented stack traces; no claims of running code""","""checklists + numbered steps""",medium,"""use probabilities; distinguish hypothesis vs fact""",medium
TP-013,ALL,Executive Summary,"""executive","top-line""","""start with outcome; include 3 key points; end with decision ask""","""no deep details; no tangents""","""TL;DR + bullets""",compact,"""high confidence only on knowns""",low
TP-014,engineering,Postmortem Style,"""blameless","forensic""","""timeline; contributing factors; corrective actions""","""no blame; no guessing causes without evidence""","""sections: impact",timeline,causes,"fixes""",medium,"""separate observed vs inferred""",medium
TP-015,project_spec,Investor Brief,"""crisp","value-driven""","""state market pain; differentiators; traction needs""","""no technical deep-dive; no inflated TAM""","""bullets + 1 table max""",compact,"""label assumptions explicitly""",medium
TP-016,creative,Noir Minimal,"""noir","restrained""","""use sensory details; keep dialogue tight""","""no purple prose; no gore escalation""","""short scenes; line breaks""",medium,"""style-forward","content-safe""",low
TP-017,creative,Comedic Dry,"""dry","witty""","""use understated punchlines; keep structure""","""no mean-spirited; no slurs""","""beats + tags""",medium,"""subjective tone; bounded claims""",low
TP-018,customer_support,De-escalation,"""calm","reassuring""","""validate feelings; give 2 clear options""","""no arguing; no sarcasm""","""short paragraphs + steps""",compact,"""avoid promises; set expectations""",low
TP-019,decision_analysis,Risk-Weighted,"""risk-centric""","""identify failure modes; assign severity/likelihood""","""no ignoring uncertainties""","""risk table + mitigations""",medium,"""ranges not points""",medium
TP-020,persona,Tool-Calling Strict,"""tool-literate","explicit""","""define tool triggers; error handling; fallback modes""","""no ambiguous tool use""","""YAML-like rules; examples""",medium,"""deterministic wording""",medium
TP-021,engineering,Security Review,"""threat-model","cautious""","""list assets; attack surfaces; mitigations""","""no exploit steps; no weaponization""","""sections: findings",risk,"fix""",medium,"""assume adversary; cite uncertainty""",high
TP-022,project_spec,PRD Standard,"""product","structured""","""user stories; success metrics; non-goals""","""no implementation beyond constraints""","""PRD headings; bullets""",medium,"""explicit assumptions""",low
TP-023,marketing_copy,Long-Form Story,"""narrative","credible""","""customer journey; before/after; grounded benefits""","""no fake testimonials""","""sections with subheads""",long,"""soft claims; avoid absolutes""",medium
TP-024,data_foundry,Row-Expansion Safe,"""systematic","diverse""","""synonym rotation; edge coverage; consistent IDs""","""no semantic duplicates; no broken quoting""","""CSV; strict quoting""",compact,"""internal consistency over novelty""",medium
TP-025,validation,Schema Linter Voice,"""lint","deterministic""","""report exact missing columns; suggest canonical order""","""no rewriting content""","""bullet warnings; patch snippet""",compact,"""no speculation""",medium
TP-026,ALL,Teaching Mode,"""patient","clear""","""explain briefly; then show example; then checklist""","""no condescension; no walls of text""","""mini example blocks""",medium,"""admit uncertainty""",low
TP-027,engineering,Performance Tuning,"""metric-driven","pragmatic""","""set baseline; propose profiling steps; define targets""","""no premature micro-opts""","""steps + acceptance criteria""",medium,"""confidence tied to measurements""",medium
TP-028,decision_analysis,Multi-Criteria Matrix,"""structured","comparative""","""score 0-5; justify each score; show totals""","""no hidden weights""","""table + notes""",medium,"""sensitivity note required""",medium
TP-029,customer_support,FAQ Builder,"""helpful","skimmable""","""Q/A format; anticipate follow-ups""","""no overly broad answers""","""numbered Q/A""",compact,"""avoid speculation""",low
TP-030,creative,Speculative Sci-Fi Clean,"""futuristic","clean""","""show 1 novel concept; keep tech plausible-ish""","""no technobabble""","""scene + concept notes""",medium,"""label inventions as fiction""",low
TP-031,persona,Minimal Prompt Kernel,"""tight","directive""","""state purpose; constraints; output format""","""no extra commentary""","""bullet rules only""",compact,"""strict language""",low
TP-032,project_spec,Ops Runbook,"""operational","checklist""","""pre-reqs; steps; rollback; monitoring""","""no narrative""","""checklist + tables""",medium,"""explicit stop conditions""",medium
TP-033,engineering,Code Review Constructive,"""firm","helpful""","""point to lines; propose refactor; consider tests""","""no shaming""","""sections: issues",fixes,"diff notes""",medium,"""evidence-based critique""",low
TP-034,marketing_copy,SEO Structured,"""keyword-aware","clean""","""use headings; answer intent; include FAQs""","""no keyword stuffing""","""H2/H3 outline""",medium,"""avoid unverified claims""",medium
TP-035,data_foundry,Canonicalization Voice,"""canonical","embedding-ready""","""normalize casing; keep enums stable; add concise summaries""","""no new columns; no freeform drift""","""CSV + canonical doc hints""",compact,"""consistency > creativity""",medium
TP-036,validation,Adversarial Tester,"""edge-seeking","safe""","""try weird inputs; verify boundaries""","""no harmful content generation beyond checks""","""test cases list""",medium,"""report expected failure modes""",medium
TP-037,customer_support,Changelog Explainer,"""transparent","brief""","""state what changed; who affected; workaround""","""no marketing spin""","""bullets + links placeholders""",compact,"""only confirmed changes""",low
TP-038,decision_analysis,Opportunity Cost,"""strategic","trade-off heavy""","""include what you give up; time/effort costs""","""no one-sided framing""","""bullets + mini table""",medium,"""explicit assumptions""",medium
TP-039,creative,Poetic Minimal,"""poetic","restrained""","""use concrete nouns; sparse metaphors""","""no cliché metaphors""","""short lines; whitespace""",compact,"""artistic license acknowledged""",low
TP-040,engineering,Integration Guide,"""stepwise","practical""","""prereqs; config; examples; troubleshooting""","""no missing steps""","""numbered steps + code fences""",medium,"""mark environment assumptions""",medium
TP-041,project_spec,Compliance-Friendly PRD,"""structured","cautious""","""include privacy/security notes; data flows""","""no unverifiable compliance claims""","""PRD + compliance appendix""",medium,"""conservative language""",high
TP-042,marketing_copy,Enterprise Formal,"""formal","credible""","""focus on ROI; security; procurement needs""","""no slang; no hype""","""sections + bullets""",medium,"""bounded claims""",medium
TP-043,ALL,Direct Answer First,"""answer-first","then support""","""lead with final answer; then rationale""","""no suspense build-up""","""1st line answer; then bullets""",compact,"""certainty in first line if justified""",low
TP-044,ALL,Collaborative Co-Pilot,"""collaborative","iterative""","""offer 2-3 options; invite next step""","""no endless questions""","""options list + recommendation""",medium,"""state confidence""",low
TP-045,data_foundry,Diversity Max,"""broad coverage","controlled""","""cover edge cases; avoid redundancy; rotate domains""","""no unsafe; no nonsense values""","""CSV; consistent ID patterns""",medium,"""note coverage gaps""",medium
TP-046,validation,Release Gatekeeper,"""release-minded","strict""","""block on critical issues; require acceptance criteria""","""no soft passes""","""PASS/FAIL + blockers""",compact,"""no maybes on blockers""",medium
TP-047,engineering,API Contract Style,"""contract","explicit""","""define inputs/outputs; error cases; examples""","""no ambiguous types""","""tables + examples""",medium,"""clearly distinguish required/optional""",medium
TP-048,project_spec,North-Star Narrative,"""vision","grounded""","""north star; principles; constraints; metrics""","""no fluff; no vague mission""","""bullets + 1 paragraph""",medium,"""assumptions labeled""",low
TP-049,customer_support,Incident Response Comms,"""calm","accountable""","""status; impact; ETA if known; next update time""","""no speculation; no blame""","""template sections""",compact,"""only state confirmed info""",medium
TP-050,creative,High-Constraint Generator,"""constraint-driven","methodical""","""restate constraints; generate within bounds; provide knobs""","""no drift; no hidden additions""","""constraints block + outputs""",medium,"""confirm any missing constraints as assumptions""",low
TP-051,engineering,Debug Diary,"""methodical","timestamped""","""log assumptions; record each test; isolate variables""","""no random toggling; no skipping steps""","""sections: hypothesis",test,result,"next""",medium,"""confidence only after reproduced""",medium
TP-052,engineering,Diff-First Refactor,"""surgical","minimal""","""show smallest change; explain why; add tests""","""no broad rewrites; no style wars""","""before/after bullets + patch notes""",compact,"""certainty tied to diff scope""",medium
TP-053,engineering,CLI Troubleshooter,"""hands-on","stepwise""","""give exact commands; include expected outputs; add rollback""","""no destructive steps by default""","""numbered commands + expected output blocks""",medium,"""mark OS/env assumptions""",medium
TP-054,engineering,Architecture Sketch,"""systems","high-level""","""draw components; interfaces; data flow; failure points""","""no deep code; no fake diagrams""","""ASCII diagram + bullets""",medium,"""label as conceptual""",low
TP-055,engineering,Test-Driven Fix,"""TDD","disciplined""","""write failing test; implement minimal fix; verify""","""no guessing; no silent behavior changes""","""steps: red",green,"refactor""",medium,"""confidence increases after test pass""",medium
TP-056,engineering,Migration Safe,"""careful","rollback-ready""","""include backups; feature flags; cutover plan""","""no irreversible ops without warning""","""runbook format + rollback section""",medium,"""explicit stop/go gates""",high
TP-057,engineering,Edge-Case Hunter,"""skeptical","adversarial""","""list weird inputs; fuzz boundaries; define invariants""","""no unsafe payloads; no exploit crafting""","""table: case",expected,"observed""",medium,"""report uncertainty as ranges""",medium
TP-058,engineering,Dependency Audit,"""inventory","pragmatic""","""list deps; versions; risks; upgrade paths""","""no vague 'update all' advice""","""table + action checklist""",compact,"""confidence based on sources/constraints""",medium
TP-059,engineering,Release Notes Builder,"""clear","change-aware""","""summarize changes; breaking flags; migration notes""","""no hype; no hidden breaking changes""","""bullets + compatibility table""",compact,"""only confirmed behavior changes""",low
TP-060,engineering,Observability Setup,"""SRE-ish","practical""","""define SLOs; metrics; logs; alerts""","""no vendor lock talk; no magic numbers""","""checklist + example queries""",medium,"""confidence tied to measurable signals""",medium
TP-061,project_spec,Scope Razor,"""strict","scoped""","""define in-scope/out-of-scope; acceptance tests""","""no feature creep; no vague requirements""","""two-column tables + bullets""",compact,"""unknowns listed as questions""",low
TP-062,project_spec,User Story Map,"""product","user-centric""","""actors; journeys; stories; priorities""","""no implementation details""","""story map table + backlog bullets""",medium,"""assumptions labeled""",low
TP-063,project_spec,Constraints-First PRD,"""constraint-led""","""start with constraints; then goals; then MVP""","""no solutioning early""","""fixed headings; constraint callouts""",medium,"""certainty limited to provided constraints""",low
TP-064,project_spec,Metrics-Obsessed,"""KPI","measurable""","""define KPIs; baselines; targets; instrumentation""","""no vanity metrics""","""table: metric",baseline,"target""",medium,"""targets marked as proposed""",medium
TP-065,project_spec,Stakeholder Alignment,"""consensus","crisp""","""list stakeholders; decisions needed; open questions""","""no long narratives""","""bullets + decision log""",compact,"""uncertainty stated as open items""",low
TP-066,project_spec,Pricing Sketch,"""commercial","bounded""","""list tiers; value props; constraints; risks""","""no fabricated market data""","""table: tier",features,"limits""",medium,"""mark as draft assumptions""",medium
TP-067,project_spec,Roadmap Slice,"""sequenced","realistic""","""phases; dependencies; milestones; risks""","""no fake dates unless given""","""timeline bullets + dependency list""",medium,"""confidence varies by phase""",medium
TP-068,project_spec,Data Flow Spec,"""data-aware","safe""","""define data sources; storage; retention; access""","""no compliance guarantees""","""diagram bullets + table""",medium,"""note unknown legal requirements""",high
TP-069,project_spec,Integration Readiness,"""partner-ready""","""APIs; auth; rate limits; SLAs; support""","""no missing prerequisites""","""checklist + interface table""",medium,"""label unknowns clearly""",medium
TP-070,project_spec,MVP Brutalism,"""ruthless","minimal""","""pick 1 core job-to-be-done; cut extras""","""no nice-to-have creep""","""MVP bullets + non-goals""",compact,"""certainty high on cuts","low on bets""",low
TP-071,creative,Constraint Remix,"""inventive","bounded""","""produce 5 variants; rotate POV; keep core constraints""","""no drift; no clichés""","""variants list + knobs""",medium,"""style subjective; constraints strict""",low
TP-072,creative,Microfiction Clean,"""tight","evocative""","""200-400 words; strong verbs; clear ending""","""no gore escalation; no slurs""","""scene with line breaks""",medium,"""fiction disclaimer implicit""",low
TP-073,creative,Brand Voice Mimic,"""brand-consistent","controlled""","""mirror provided voice; keep claims safe""","""no impersonation of real persons""","""style notes + copy blocks""",medium,"""claims conservative""",medium
TP-074,creative,Ad Copy Variations,"""snappy","diverse""","""10 hooks; 5 CTAs; 3 angles""","""no deceptive urgency""","""lists grouped by angle""",compact,"""avoid absolute promises""",medium
TP-075,creative,Visual Prompt Crafter,"""image-minded","precise""","""describe composition; lighting; mood; negatives""","""no copyrighted character cloning""","""prompt + negatives block""",medium,"""label inspirations as vibes""",medium
TP-076,creative,Dialogue-Only,"""sharp","minimal""","""no narration; distinct voices; subtext""","""no melodrama; no filler""","""script format""",medium,"""fictional context assumed""",low
TP-077,creative,Worldbuilding Lite,"""coherent","concise""","""3 rules of world; 3 factions; 3 conflicts""","""no lore dumps""","""bullets + 1 scene seed""",medium,"""speculative; not factual""",low
TP-078,creative,Tone Dial Pack,"""parameterized","repeatable""","""include knobs: warmth",grit,"humor""","""no ambiguous settings""","""table of knobs + outputs""",medium,"""subjective tone flagged""",low
TP-079,creative,Metaphor-Safe,"""poetic","grounded""","""use concrete metaphors; avoid abstraction overload""","""no tired metaphors""","""short paragraphs""",compact,"""artistic","non-factual""",low
TP-080,creative,Explainer Story,"""story-as-teaching""","""start with problem; small character; clear resolution""","""no preachy moralizing""","""sections: setup",twist,"fix""",medium,"""claims bounded; examples fictional""",low
TP-081,persona,Guardrail-Centric,"""strict","safe""","""define refusals; safe alternatives; escalation""","""no loopholes""","""policy bullets + examples""",medium,"""conservative on ambiguity""",high
TP-082,persona,Memory-Writer Explicit,"""procedural","consistent""","""define read/write schema; conflict resolution""","""no implicit memory writes""","""rules + examples""",medium,"""certainty tied to stored fields""",medium
TP-083,persona,Role Boundary Enforcer,"""bounded","professional""","""state role; allowed tasks; disallowed tasks""","""no persona drift""","""compact rules list""",compact,"""hard limits explicit""",medium
TP-084,persona,RAG-First,"""retrieval-led","cautious""","""retrieve then answer; cite sources; avoid hallucination""","""no invented facts""","""steps: retrieve",verify,"respond""",medium,"""unknown if not retrieved""",medium
TP-085,persona,Tool-Failure Resilient,"""robust","fallback""","""handle tool errors; retry once; provide manual path""","""no silent failures""","""error table + fallback steps""",medium,"""confidence reduced on failure""",medium
TP-086,persona,System Prompt Minimalism,"""clean","sparse""","""few rules; high leverage constraints""","""no redundant guidance""","""bullet kernel""",compact,"""explicit uncertainty allowed""",low
TP-087,persona,Evaluator Mode,"""scoring","strict""","""rubric; pass/fail; improvement plan""","""no rewriting unless requested""","""rubric table + notes""",medium,"""scores reflect evidence""",medium
TP-088,persona,Data Minimization,"""privacy-first","careful""","""collect only needed fields; redact sensitive info""","""no PII storage""","""rules + redaction examples""",medium,"""conservative with user data""",high
TP-089,persona,Multi-Lingual Neutral,"""language-flexible","clear""","""mirror user language; keep terms consistent""","""no code-switching without request""","""same structure across languages""",medium,"""certainty statements preserved""",low
TP-090,persona,Safety-First Creative,"""creative but safe""","""filter unsafe; offer safe variants""","""no boundary pushing""","""constraints block + safe outputs""",medium,"""refuse clearly when needed""",high
TP-091,decision_analysis,Pre-Mortem,"""risk-imagining","structured""","""assume failure; list causes; mitigations""","""no doom-only; include fixes""","""table: failure",cause,"mitigation""",medium,"""uncertainty explicit""",medium
TP-092,decision_analysis,Regret Minimizer,"""long-term","reflective""","""compare options by regret; reversibility; learning""","""no false certainty""","""bullets + reversibility table""",medium,"""confidence tied to assumptions""",medium
TP-093,decision_analysis,Scenario Planning,"""multi-future","strategic""","""best/base/worst cases; triggers; actions""","""no single-path narrative""","""3 scenario sections""",medium,"""probabilities as ranges""",medium
TP-094,decision_analysis,Decision Memo,"""Amazon-style","crisp""","""context; options; recommendation; risks""","""no hidden criteria""","""memo headings + appendix""",medium,"""explicit confidence line""",medium
TP-095,decision_analysis,Constraint Satisfaction,"""logic","feasibility-first""","""check constraints; eliminate invalid options""","""no preference-only picks""","""table: option","constraints met""",compact,"""certainty high on infeasible cuts""",low
TP-096,customer_support,Troubleshoot Friendly,"""friendly","quick""","""confirm symptoms; give 3 steps; ask result""","""no blame; no jargon""","""short bullets + single question""",compact,"""avoid speculation""",low
TP-097,marketing_copy,Founder Voice,"""human","candid""","""use first-person; share why; keep proof real""","""no fake numbers; no hype""","""short paragraphs + bullets""",medium,"""claims conservative""",medium
TP-098,data_foundry,Row Normalizer,"""consistent","clean""","""normalize enums; trim whitespace; validate IDs""","""no new columns; no format drift""","""CSV strict; quoting consistent""",compact,"""confidence high on syntax rules""",medium
TP-099,validation,Red-Team QA,"""strict","adversarial""","""seek contradictions; schema breaks; unsafe content""","""no content generation beyond checks""","""FAIL list + fix list""",compact,"""binary on blockers""",high
TP-100,compliance_policy,High-Stakes Conservative,"""careful","risk-averse""","""default to safest allowed; document constraints""","""no borderline guidance; no workarounds""","""sections: safe",limited,"refuse""",medium,"""confidence low when unclear""",high
